Date,City,Cause of Death
04/17/2011,Bang Lamung -  Chonburi -  Thailand,Suicide
05/10/2011,Chiang Mai -  Thailand,Veh. Accid-Motorcy.
05/13/2011,Bang Lamung -  Chonburi -  Thailand,Suicide
07/14/2011,Muaeng -  Phuket -  Thailand,Suicide
07/17/2011,Muang -  Chiang Mai -  Thailand,Veh. Accid-Motorcy.
09/07/2011,Muang -  Chiang Mai -  Thailand,Suicide
09/25/2011,Muang -  Nakhon Ratchasima -  Thailand,Other Accident
09/26/2011,Phayao -  Thailand,Other Accident
09/28/2011,Nakhon Sawan -  Thailand,Suicide
10/04/2011,Chang Mai -  Thailand,Other Accident
11/15/2011,Mueang Rayong -  Rayong -  Thailand,Other Accident
12/14/2011,Bang Khen -  Bangkok -  Thailand,Other Accident
12/22/2011,Ko Samui -  Surat Thani -  Thailand,Veh. Accid-Motorcy.
01/13/2012,Chonburi -  Chonburi -  Thailand,Homicide
01/21/2012,Bang Lamung -  Chonburi -  Thailand,Suicide
01/31/2012,Mueang -  Samutsakorn -  Thailand,Vehicle Accident - Auto
02/13/2012,Klong Toey Nua -  Bangkok -  Thailand,Homicide
03/12/2012,Lat Krabang -  Bangkok -  Thailand,Suicide
03/21/2012,Chiang Rai -  Chiang Rai -  Thailand,Suicide
04/01/2012,Bang Lamung -  Chonburi -  Thailand,Suicide
04/10/2012,Chang Phuak -  Chiang Mai -  Thailand,Other Accident
04/15/2012,Muang -  Nong Khai -  Thailand,Vehicle Accident - Auto
04/15/2012,Muang -  Nong Khai -  Thailand,Vehicle Accident - Auto
04/20/2012,Koh Samui -  Surat Thani -  Thailand,Drowning
04/21/2012,Hua Hin -  Prachuap Khirikhan -  Thailand,Vehicle Accident - Motorcycle
05/24/2012,Khlong Toei -  Bangkok -  Thailand,Other Accident
05/30/2012,A. Hang Dong -  Chiang Mai -  Thailand,Homicide
06/09/2012,Muang -  Sakon Nakorn -  Thailand,Other Accident
06/12/2012,Kathu -  Phuket -  Thailand,Drowning
06/24/2012,A. Hangdong  -  Chiang Mai -  Thailand,Other Accident
07/20/2012,Kathu -  Phuket -  Thailand,Vehicle Accident - Motorcycle
07/30/2012,Mueang -  Udon Thani -  Thailand,Suicide
08/13/2012,Chiang Mai -  Thailand,Other Accident
09/03/2012,Kathu -  Phuket -  Thailand,Suicide
09/10/2012,Mueang Kanchanaburi -  Kanchanaburi -  Thailand,Vehicle Accident - Motorcycle
09/10/2012,Prawet -  Bangkok -  Thailand,Suicide
11/14/2012,A. Muang -  Chiang Mai -  Thailand,Vehicle Accident - Motorcycle
11/19/2012,A. Wichianburi -  Phetchabun -  Thailand,Vehicle Accident - Motorcycle
11/23/2012,Koh Samui -  Surat Thani -  Thailand,Vehicle Accident - Motorcycle
11/26/2012,Bangkok -  Thailand,Vehicle Accident - Motorcycle
12/08/2012,Prachathipat -  Thanyaburi -  Thailand,Drug-Related
12/16/2012,A. Muang -  Kamphaeng Phet -  Thailand,Vehicle Accident - Auto
12/20/2012,Rawai -  Mueang Phuket -  Thailand,Vehicle Accident - Motorcycle
01/26/2013,A. Muang -  Chiang Rai -  Thailand,Veh. Accid-Motorcy.
01/30/2013,Mueang -  Nakhon Ratchasima -  Thailand,Veh. Accid-Auto
02/01/2013,A. Muang -  Chiang Mai -  Thailand,Veh. Accid-Motorcy.
02/06/2013,Lamlukka -  Phathumthani -  Thailand,Veh. Accid-Motorcy.
02/08/2013,Phuket -  Thailand,Drug-Related
